NULL,201819,1782,15365
NULL,201920,4482,39137
" blepharospasm",201920,6,9
" overactive bladder/ detruor overactivity",201920,8,18
" SOMATROPIN (RBE) 12MG POWDER AND SOLVENT FOR SOLUTION FOR INJECTION CARTRIDGES",201819,NULL,NULL
" TOCILIZUMAB (ROACTEMRA) 478mg sodium chloride 0.9% bp ",201920,NULL,NULL
"	HYDROCORTISONE 5MG/5ML ORAL SUSPENSION",201920,NULL,NULL
"""AZATHIOPRINE!25mg!TABLETS (100 tabs)              """,201920,NULL,11
"""AZATHIOPRINE!50mg!TABLETS (56 tabs)               """,201920,NULL,11
"""BIOTIN!5mg!TABLETS (30 tabs)(UL)                  """,201920,NULL,22
"""BOTULINIUM A TOXIN (BOTOX) 100units """,201920,NULL,NULL
"""CHLORAL HYDRATE!500mg/5mL!SYRUP (200mL)(UL)       """,201920,NULL,11
"""CLOBAZAM!10mg/5mL!SUSPENSION (150mL)              """,201920,NULL,11
"""CLONAZEPAM!2mg!TABLETS (100 tabs)                 """,201920,NULL,11
"""CLONIDINE 10MCG IN 1ML ORAL SOLUTION (GUYS AND ST """,201920,NULL,63
"""DIPYRIDAMOLE!50mg/5mL!SUSPENSION (150mL)          """,201920,NULL,11
"""ENOXAPARIN 100mg (10 000units)/1mL SYRINGE        """,201920,NULL,7
"""ENOXAPARIN 100mg (10000units)/1mL SYRINGE        """,201920,8,60
"""ENOXAPARIN 80mg (8 000units)/0.8mL SYRINGE        """,201920,NULL,9
"""ENOXAPARIN 80mg (8000units)/0.8mL SYRINGE        """,201920,NULL,45
"""ETHOSUXIMIDE!250mg/5mL!SYRUP (200mL)              """,201920,NULL,11
"""HYDROCORTISONE 5mg in 5mL ORAL SUSPENSION (OXFORD """,201920,NULL,10
"""METHOTREXATE - Metoject (methotrexate) 10mg/0.2ml """,201920,NULL,22
"""METHOTREXATE - Metoject (methotrexate) 10mg/0.2ml for injection """,201920,NULL,19
"""METHOTREXATE - Metoject (methotrexate) 15mg/0.3ml """,201920,NULL,34
"""METHOTREXATE - Metoject (methotrexate) 20mg/0.4ml """,201920,20,193
"""Metoject (methotrexate) 10mg/0.2ml for injection """,201920,NULL,18
"""OMEPRAZOLE10mg/5mL(QuZOLE)PWD+DIL ORAL SUSP(UL)   """,201920,NULL,11
"""PHENOBARBITAL 50mg in 5mL ORAL SUSPENSION ALCOHOL """,201920,NULL,75
"""SODIUM VALPROATE!200mg/5mL LIQUID EPILIM (300mL)  """,201920,NULL,11
"""URSODEOXYCHOLIC ACID (URSOFALK) 250mg in 5mL ORAL """,201920,NULL,69
#HOMECARE DARBEPOETIN ALFA^,201920,NULL,NULL
#HOMECARE DARBEPOETIN ALFA^ 50 micrograms Injection,201920,NULL,NULL
#N/A,201819,NULL,8
#N/A,201920,52,143
(blank),201819,12,19
(blank),201920,30,77
(HCA) BAND G Components,201920,NULL,NULL
(HCD) HOMECARE 12 WEEK DELIVERY (VAN),201819,NULL,NULL
(HCD) HOMECARE 12 WEEK DELIVERY (VAN),201920,54,99
(HCD) HOMECARE 16 WEEK DELIVERY (VAN),201920,NULL,NULL
(HCD) HOMECARE 6 MONTH DELIVERY CHARGE (VAN),201920,NULL,NULL
(HCD) HOMECARE DELIVERY CHARGE (VAN) (ú45.50),201920,17,20
(HCD) HOMECARE DELIVERY CHARGE (VAN) (ú47.17),201819,NULL,8
(HCD) HOMECARE DELIVERY CHARGE (VAN) (ú51.00),201819,NULL,13
(HCD) HOMECARE DELIVERY CHARGE (VAN) (ú52.00),201920,7,7
(HOME) ADALIMUMAB,201819,NULL,21
(HOME) ADOPORT,201819,92,636
(HOME) ADOPORT,201920,124,714
(HOME) ADVAGRAF,201819,269,2513
(HOME) ADVAGRAF,201920,246,1791
(HOME) AZATHIOPRINE,201819,88,460
(HOME) AZATHIOPRINE,201920,87,387
(HOME) BOSENTAN,201819,NULL,11
(HOME) BOSENTAN,201920,NULL,24
(HOME) CICLOSPORIN,201819,138,751
(HOME) CICLOSPORIN,201920,21,93
(HOME) CINACALCET,201920,64,149
(HOME) DARBEPOETIN ALFA,201819,34,149
(HOME) DARBEPOETIN ALFA,201920,34,164
(HOME) DARBEPOETIN FRESENIUS DELIVERY,201819,34,147
(HOME) DARBEPOETIN FRESENIUS DELIVERY,201920,33,158
(HOME) DESFERRIOXAMINE,201819,NULL,74
(HOME) DESFERRIOXAMINE,201920,6,116
(HOME) ECULIZUMAB,201819,NULL,48
(HOME) ECULIZUMAB,201920,NULL,51
(HOME) ENVARSUS,201819,NULL,14
(HOME) ENVARSUS,201920,NULL,20
(HOME) EPREX (Epoetin Alfa),201819,777,3117
(HOME) EPREX (Epoetin Alfa),201920,805,4118
(HOME) EVOLOCUMAB,201920,NULL,NULL
(HOME) GOLIMUMAB,201819,NULL,14
(HOME) GOLIMUMAB,201920,NULL,13
(HOME) Healthcare at home delivery (Bosentan),201819,NULL,11
(HOME) HEALTHCARE AT HOME DELIVERY (Bosentan),201920,NULL,23
(HOME) HEALTHCARE AT HOME DELIVERY (Neorecormon),201819,NULL,8
(HOME) HEALTHCARE AT HOME DELIVERY (Neorecormon),201920,NULL,14
(HOME) HPN ANCILLARY COST,201920,NULL,NULL
(HOME) HPN BAND A BAXTER,201819,NULL,NULL
(HOME) HPN BAND A BAXTER,201920,NULL,24
(HOME) HPN BAND A CALEA,201819,NULL,85
(HOME) HPN BAND A CALEA,201920,6,67
(HOME) HPN BAND A LLOYDS,201819,NULL,6
(HOME) HPN BAND A LLOYDS,201920,NULL,13
(HOME) HPN BAND C BAXTER,201920,NULL,NULL
(HOME) HPN BAND C CALEA,201819,6,77
(HOME) HPN BAND C CALEA,201920,NULL,53
(HOME) HPN BAND D SIMPLE FLUID BAXTER,201920,NULL,NULL
(HOME) HPN BAND D SIMPLE FLUID CALEA,201819,NULL,14
(HOME) HPN BAND D SIMPLE FLUID CALEA,201920,NULL,7
(HOME) HPN BAND E CALEA,201920,NULL,NULL
(HOME) HPN BAND H CALEA,201920,NULL,6
(HOME) HPN BAXTER Installation & Removal fee,201819,NULL,NULL
(HOME) HPN BAXTER Installation & Removal fee,201920,NULL,NULL
(HOME) HPN BAXTER On Hold Charge,201819,NULL,NULL
(HOME) HPN BAXTER On Hold Charge,201920,NULL,NULL
(HOME) HPN CALEA Installation & Removal fee,201819,NULL,NULL
(HOME) HPN CALEA Installation & Removal fee,201920,NULL,NULL
(HOME) HPN CALEA On Hold Charge,201819,NULL,13
(HOME) HPN CALEA On Hold Charge,201920,7,23
(HOME) HPN Delivery BAXTER,201819,NULL,NULL
(HOME) HPN Delivery BAXTER,201920,NULL,23
(HOME) HPN Delivery CALEA (Standard),201819,11,177
(HOME) HPN Delivery CALEA (Standard),201920,9,117
(HOME) HPN Delivery Lloyds,201819,NULL,22
(HOME) HPN Delivery Lloyds,201920,NULL,26
(HOME) HPN Nursing BAXTER,201819,NULL,NULL
(HOME) HPN Nursing BAXTER,201920,NULL,20
(HOME) HPN Nursing CALEA,201819,9,68
(HOME) HPN Nursing CALEA,201920,8,41
(HOME) HUMIRA (ADALIMUMAB),201920,NULL,NULL
(HOME) IMMUNO 1 MONTHLY DELIVERY,201819,143,612
(HOME) IMMUNO 1 MONTHLY DELIVERY,201920,24,38
(HOME) IMMUNO 2 MONTHLY DELIVERY,201819,17,29
(HOME) IMMUNO 2 MONTHLY DELIVERY,201920,7,7
(HOME) IMMUNO 3 MONTHLY DELIVERY,201819,418,1926
(HOME) IMMUNO 3 MONTHLY DELIVERY,201920,189,189
(HOME) IMMUNO 4 MONTHLY DELIVERY,201819,56,214
(HOME) IMMUNO 4 MONTHLY DELIVERY,201920,21,21
(HOME) IMMUNO 5 MONTHLY DELIVERY,201819,NULL,NULL
(HOME) IMMUNO 5 MONTHLY DELIVERY,201920,NULL,NULL
