"","DrugName","FreqCount"
"1","ADALIMUMAB",34498
"2","HC ADALIMUMAB IMRALDI 40 mg Injection Pre Filled Pen",17949
"3","ADALIMUMAB (D2E7) - HOMECARE 40 mg Preloaded Pen",11495
"4","ADALIMUMAB (IMRALDI) (HOMECARE)",8205
"5","ADALIMUMAB (IMRALDI)",7984
"6","HC ADALIMUMAB HUMIRA 40 mg Injection Pre Filled Pen",7167
"7","Adalimumab 40mg/0.8ml solution for injection pre-filled disposable devices",6809
"8","ADALIMUMAB REFERENCE PRICE",4810
"9","HOMECARE ADALIMUMAB (IMRALDI)",4373
"10","ADALIMUMAB (HUMIRA)_(HOMECARE) 40 mg in 0.4mL Pre-filled Injection Pen",3649
"11","ADALIMUMAB(AMGEVITA)",3005
"12","HOMECARE IMRALDI (ADALIMUMAB)",2926
"13","Adalimumab",2461
"14","HOMECARE - ADALIMUMAB (AMGEVITA) 40 mg in 0.8ml Auto Injector Pen",2440
"15","ADALIMUMAB (HUMIRA) (HOMECARE)",2251
"16","ADALIMUMAB(HUMIRA)",1968
"17","Adalimumab (Homecare)",1820
"18","HOMECARE AMGEVITA (ADALIMUMAB)",1703
"19","ADALIMUMAB - IMRALDI (HOMECARE)",1477
"20","HOMECARE ADALIMUMAB!40mg/0.8mL! PEN (HYRIMOZ)",1466
