"","DrugName"
"1","(HCA) ADALIMUMAB 40mg/0.8ml PRE FILLED PEN (IMRALDI) (2)"
"2","(HOME) ADALIMUMAB"
"3","(HOME) HUMIRA (ADALIMUMAB)"
"4","(HOME) IMRALDI (ADALIMUMAB)"
"5","Adalimumab"
"6","ADALIMUMAB"
"7","ADALIMUMAB - AMGEVITA (HOMECARE)"
"8","Adalimumab - Biosmilar"
"9","ADALIMUMAB - HOMECARE 40 mg Pen"
"10","ADALIMUMAB - HOMECARE DELIVERY"
"11","ADALIMUMAB - HUMIRA  "
"12","ADALIMUMAB - HUMIRA  (HOMECARE)"
"13","ADALIMUMAB - HUMIRA (HOMECARE)"
"14","Adalimumab - HUMIRA PEN 80MG/0.8ML    20013015"
"15","ADALIMUMAB - IMRALDI"
"16","ADALIMUMAB - IMRALDI "
"17","ADALIMUMAB - IMRALDI (HOMECARE- HIDR. SUPP. INDICATION ONLY)"
"18","ADALIMUMAB - IMRALDI (HOMECARE)"
"19","ADALIMUMAB   Amgevita 40mg 0.8mL PRE FILLED PEN"
"20","ADALIMUMAB   Amgevita 40mg 0.8mL PRE FILLED PEN  H"
"21","ADALIMUMAB   Amgevita 40mg 0.8mL PRE FILLEDSYRINGE"
"22","ADALIMUMAB  (IMRALDI) **HOMECARE DELIVERY ONLY**"
"23","ADALIMUMAB  AMGEVITA (HOMECARE) PEN"
"24","ADALIMUMAB  PEN"
"25","Adalimumab ! HUMIRA PEN 40MG/0.4ML"
"26","Adalimumab ! HUMIRA SYRINGE  40MG/0.4ML"
"27","Adalimumab ! HUMIRA SYRINGE 40MG"
"28","adalimumab $ (humira) pen*HC*"
"29","adalimumab $ pen *homecare*"
"30","adalimumab $(humira) syr*HC*"
"31","ADALIMUMAB ()"
"32","ADALIMUMAB (AMGEVITA)"
"33","ADALIMUMAB (AMGEVITA)  PEN"
"34","ADALIMUMAB (AMGEVITA)  SYRINGE"
"35","ADALIMUMAB (AMGEVITA) (HOME DELIVERY)"
"36","ADALIMUMAB (AMGEVITA) (HOME DELIVERY) (G-S)"
"37","ADALIMUMAB (AMGEVITA) (HOMECARE)"
"38","ADALIMUMAB (AMGEVITA) (PRE-FILLED PENS) 40 mg Inj"
"39","ADALIMUMAB (AMGEVITA) (PRE-FILLED PENS) 40 mg Inje"
"40","ADALIMUMAB (AMGEVITA) (PRE-FILLED SYRINGE) 20 mg"
"41","ADALIMUMAB (AMGEVITA) (PRE-FILLED SYRINGE) 20 mg I"
"42","ADALIMUMAB (AMGEVITA) (PRE-FILLED SYRINGE) 40 mg"
"43","ADALIMUMAB (AMGEVITA) (PRE-FILLED SYRINGE) 40 mg I"
"44","ADALIMUMAB (AMGEVITA) **HOMECARE DELIVERY ONLY**"
"45","ADALIMUMAB (AMGEVITA) 20 mg prefilled syringe"
"46","ADALIMUMAB (AMGEVITA) 40 mg in 0.8ml prefilled pen"
"47","ADALIMUMAB (AMGEVITA) 40 mg in 0.8ml prefilled syringe"
"48","ADALIMUMAB (AMGEVITA) 40mg/0.8ml PEN (2) (HOMECARE"
"49","ADALIMUMAB (AMGEVITA) PENS (HOME DELIVERY ONLY)"
"50","ADALIMUMAB (AMGEVITA) PRE-FILLED PEN"
"51","ADALIMUMAB (AMGEVITA) PRE-FILLED SYRINGE"
"52","ADALIMUMAB (AMGEVITA)* ^"
"53","ADALIMUMAB (AMGEVITA)40mg/0.8mL PEN"
"54","Adalimumab (CCG)"
"55","ADALIMUMAB (D2E7) - HOMECARE 40 mg Preloaded Pen"
"56","ADALIMUMAB (D2E7) - HOMECARE 40 mg Subcutaneous Injection"
"57","ADALIMUMAB (D2E7) - HOMECARE 80 mg Preloaded Pen"
"58","ADALIMUMAB (D2E7) 40 mg Preloaded Pen"
"59","ADALIMUMAB (D2E7) 40 mg Subcutaneous Injection"
"60","ADALIMUMAB (DISCOUNTED)!40mg/0.4mL!PRE-FILLED PEN"
"61","ADALIMUMAB (FOR 'HS') "
"62","ADALIMUMAB (For HS) - HOMECARE 40 mg Preloaded Pen"
"63","ADALIMUMAB (HOME DELIVERY)"
"64","ADALIMUMAB (HOME) 40mg in 0.4ml Injection"
"65","ADALIMUMAB (HOME) 40mg in 0.8ml Injection"
"66","Adalimumab (HOMECARE (HUMIRA))"
"67","ADALIMUMAB (HOMECARE (HUMIRA))"
"68","ADALIMUMAB (homecare pen pack)"
